# slug	datePublished	dateModified	row_hash — generated by tools/build-entry-dates.py
# Real per-entry dates. Do NOT hand-edit; do NOT stamp pages with the build date.
2fa	2026-05-18	2026-05-18	2ff0764bcab2
a-jepa	2026-06-28	2026-06-28	9ed7e6005ab6
a11y	2026-05-19	2026-05-19	8b3e1d36f978
aaai	2026-05-27	2026-05-27	296b42aa3822
aaru	2026-05-18	2026-05-18	a1b92dcbf836
abbeel	2026-05-21	2026-05-21	50678b60f413
abi	2026-05-18	2026-05-18	38ae3f413b01
ablation	2026-05-24	2026-05-24	69357f1bde9f
abm	2026-05-21	2026-05-21	3c3a98a53642
acid	2026-05-18	2026-05-18	94e16e31f21c
acl	2026-05-27	2026-05-27	0182bbefa628
actix	2026-05-17	2026-05-17	fa4cd8857b21
adam	2026-05-18	2026-05-18	880a94a81974
adamw	2026-05-18	2026-05-18	c96ea414547e
adapter	2026-05-28	2026-05-28	da60110a3956
adept	2026-05-18	2026-05-18	11f12d38e0e9
ae	2026-05-26	2026-05-26	e23166bee953
aeraki	2026-07-12	2026-07-12	dbde2e19792f
aerospike	2026-05-16	2026-05-16	4b63f428fb16
aes	2026-05-17	2026-05-17	f39c484003a6
affine	2026-05-18	2026-05-18	7eafe81fdb05
agda	2026-05-17	2026-05-17	975c18efac61
agent	2026-05-28	2026-05-28	82a7f41a0ec0
agentic	2026-05-28	2026-05-28	d7673b86e79b
agentless	2026-05-30	2026-05-30	f3fd72504ffe
agi	2026-05-18	2026-05-18	a2c5e854ff73
agno	2026-05-17	2026-05-17	6d0b85ab2288
agntcy	2026-07-12	2026-07-12	25638380db2f
ai21	2026-05-18	2026-05-18	cc503b689807
aider	2026-05-16	2026-05-16	c9098aedeccc
airflow	2026-05-17	2026-05-17	838d5751c4a1
airsim	2026-05-26	2026-05-26	7e6cbe0874ee
aistats	2026-05-27	2026-05-27	22ee94747c56
aks	2026-05-19	2026-05-19	655222512ada
alacritty	2026-05-16	2026-05-16	26be0066e6d9
albert	2026-05-27	2026-05-27	4182640b8132
aleatoric	2026-06-15	2026-06-15	dfc26aa8058b
alembic	2026-07-12	2026-07-12	6a67d2640115
aleph	2026-07-05	2026-07-05	a544c19fcf57
alexnet	2026-05-27	2026-05-27	cd7509e44b3c
alfred	2026-05-17	2026-05-17	33f64658e046
algolia	2026-05-16	2026-05-16	44e69b90d21d
alibi	2026-05-30	2026-05-30	1e90610aedeb
